Book title,Author,Narrator,Duration,Release Date,Rating
7 Secrets of Vishnu,Trinity Series,Devdutt Pattanaik,by: Sagar Arya,7 Secrets,4 hrs and 5 mins,Release,Language:,4.5
7 Secrets of the Goddess,Trinity Series,Devdutt Pattanaik,by: Sagar Arya,7 Secrets,4 hrs and 38 mins,Release,Language:,4.5
Ramayana Versus Mahabharata,Comparison,Devdutt Pattanaik,by: Surjan Singh,hrs and 13 mins,Date: 19-11-19,Language:,4.5
Rogue Protocol,"Diaries, Book 3",Martha Wells,by: Kevin R. Free,"Diaries, Book 3",3 hrs and 46 mins,Release,Language:,4.5
Dharmayoddha Kalki: Avatar of Vishnu,Book 1,Kevin Missal,by: Manish Dongardive,"Trilogy, Book 1",12 hrs and 34 mins,Release,Language:,4
Columbus Day,Book 1,Craig Alanson,by: R.C. Bray,"Force, Book 1",16 hrs and 23 mins,Release,Language:,4.5
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Nilotpal Mrinal,Nilotpal Mrinal,6 hrs and 13 mins,03-11-20,Hindi,5
Sherlock Holmes and the Three Winter Terrors,James Lovegrove,Dennis Kleinman,10 hrs and 46 mins,12-10-21,English,4.5
The Armour of Light,4,Ken Follett,by: John Lee,"(Publication Order), Book 5, The Kingsbridge Novels, Book 4",21 hrs and 39 mins,Release,Language:,Not
Siddhartha (Hindi Edition),Herman Hesse,Mukesh Pandey,5 hrs and 11 mins,15-02-19,Hindi,4.5
The Alchemist (Hindi Edition),"Paulo Coelho, Anu Singh - translator",Babla Kochhar,6 hrs and 36 mins,26-03-19,Hindi,4.5
Philosopher's Stone (Hindi Edition),S. Gurjar,Mukesh Pandey,5 hrs and 54 mins,25-02-21,Hindi,4.5
Study for Obedience,Sarah Bernstein,Sarah Bernstein,3 hrs and 59 mins,05-10-23,English,Not
Best of Faiz (Hindi Edition),Kuldip Salil,"Prakil Singh, Eshwar Shankar",2 hrs and 17 mins,20-01-22,Hindi,4.5
Sherlock Holmes: The Voice of Treason,Original Drama,"George Mann, Cavan Scott","by: Nicholas Boulton, Frances Jeater, Don Gilet, Kobna Holdbrook-Smith, Ivanno Jeremiah, Amy McAllister, full cast",hrs,Date: 16-03-20,Language:,4
The Hidden Hindu 2,Akshat Gupta,Vivek Bhatia,"The Hidden Hindu, Book 2",hrs and 26 mins,Date: 27-06-23,Language:,4
The Practicing Stoic,Ward Farnsworth,John Lescault,9 hrs and 57 mins,25-12-18,English,4.5
Gaban [Embezzlement],Munshi Premchand,Sameer Goswami,11 hrs and 36 mins,21-02-22,Hindi,4.5
Night Train at Deoli (Hindi Edition),Ruskin Bond,Mansi Multani,6 hrs and 43 mins,24-12-18,Hindi,4.5
Hiranyakashyap,"Trilogy, Book 2",Kevin Missal,by: Rajat Verman,"Narasimha Trilogy, Book 2",6 hrs and 11 mins,Release,Language:,4.5
Wuthering Heights,Exclusive Performance,"Emily Brontë, Ann Dinsdale - introduction","by: Joanne Froggatt, Rachel Atkins - introduction",hrs and 32 mins,Date: 30-11-17,Language:,4.5
Kamayani (Hindi Edition),Jaishankar Prasad,Kafeel Jafri,3 hrs and 53 mins,14-10-21,Hindi,4.5
